1-1	0-4	Juan
1-2	4-5	,
1-3	6-8	60
1-4	9-13	urte
1-5	13-14	.

2-1	15-26	Edateagatik
2-2	27-31	bere
2-3	32-44	iturgindegia
2-4	45-50	galdu
2-5	51-55	zuen
2-6	56-64	iturgina
2-7	64-65	.

3-1	69-79	Familiaren
3-2	80-91	kontrolaren
3-3	92-95	eta
3-4	96-107	alkoholaren
3-5	108-117	kaltearen
3-6	118-126	gainetik
3-7	126-127	,
3-8	128-133	inoiz
3-9	134-136	ez
3-10	137-141	zion
3-11	142-150	edateari
3-12	151-155	utzi
3-13	155-156	.

4-1	157-163	Mariak
4-2	163-164	,
4-3	165-169	bere
4-4	170-176	arreba
4-5	177-185	zaharrak
4-6	185-186	,
4-7	187-191	bere
4-8	192-201	herentzia
4-9	202-206	utzi
4-10	207-211	zion
4-11	211-212	.

5-1	213-217	Bera
5-2	218-227	hildakoan
5-3	227-228	,
5-4	229-233	Juan
5-5	234-243	kontrolik
5-6	244-248	gabe
5-7	249-255	edaten
5-8	256-259	eta
5-9	260-265	dirua
5-10	266-274	xahutzen
5-11	275-279	hasi
5-12	280-283	zen
5-13	283-284	.

6-1	285-293	Hasieran
6-2	293-294	,
6-3	295-299	bere
6-4	300-305	burua
6-5	306-310	bere
6-6	311-321	bizitzaren
6-7	322-326	jabe
6-8	327-332	ikusi
6-9	333-337	zuen
6-10	337-338	.

7-1	339-348	Alkoholak
7-2	349-353	bera
7-3	354-361	hiltzen
7-4	362-367	zuela
7-5	368-376	bazekien
7-6	376-377	,
7-7	378-383	baina
7-8	384-387	hil
7-9	388-396	aurretik
7-10	397-404	horrela
7-11	405-413	bizitzea
7-12	414-421	nahiago
7-13	422-426	zuen
7-14	426-427	.

8-1	428-444	Familiarengandik
8-2	445-452	urrundu
8-3	453-460	ondoren
8-4	460-461	,
8-5	462-468	Juanek
8-6	469-478	bizilagun
8-7	479-484	berri
8-8	485-494	batzuekin
8-9	495-499	bere
8-10	500-511	zainketaren
8-11	512-517	truke
8-12	518-527	herentzia
8-13	528-534	ematea
8-14	535-541	adostu
8-15	542-546	zuen
8-16	546-547	.

9-1	548-558	Astebetera
9-2	559-563	Juan
9-3	564-569	zendu
9-4	570-573	zen
9-5	573-574	.

10-1	575-581	Mariak
10-2	582-591	herentzia
10-3	592-601	babesteko
10-4	602-606	utzi
10-5	607-611	zion
10-6	611-612	,
10-7	613-618	ordea
10-8	618-619	,
10-9	620-631	babesgabetu
10-10	632-636	zuen
10-11	636-637	.

11-1	641-649	Benetako
11-2	650-656	babesa
11-3	657-665	pertsona
11-4	666-675	autonomoa
11-5	676-682	izatea
11-6	683-685	da
11-7	685-686	,
11-8	687-694	norbera
11-9	695-699	bere
11-10	700-710	bizitzaren
11-11	711-715	jabe
11-12	716-722	izatea
11-13	722-723	.

12-1	724-728	Bere
12-2	729-738	arrebaren
12-3	739-753	paternalismoak
12-4	754-757	eta
12-5	758-770	gain-babesak
12-6	771-773	ez
12-7	774-779	zuten
12-8	780-786	Juanek
12-9	787-791	bere
12-10	792-802	bizitzaren
12-11	803-809	ardura
12-12	810-817	hartzea
12-13	818-822	utzi
12-14	822-823	.

13-1	824-838	Alkoholarekiko
13-2	839-852	menpekotasuna
13-3	853-861	mantendu
13-4	862-866	zuen
13-5	866-867	,
13-6	868-872	lana
13-7	872-873	,
13-8	874-885	etxebizitza
13-9	885-886	,
13-10	887-894	familia
13-11	894-895	…
13-12	896-901	galdu
13-13	902-908	zituen
13-14	909-914	arren
13-15	914-915	.

14-1	916-920	Izan
14-2	921-924	ere
14-3	924-925	,
14-4	926-931	beste
14-5	932-940	pertsona
14-6	941-944	bat
14-7	945-949	beti
14-8	950-954	bere
14-9	955-962	arazoez
14-10	963-971	arduratu
14-11	972-976	izan
14-12	977-980	zen
14-13	980-981	.

15-1	982-986	Bera
15-2	987-995	babesten
15-3	996-1000	zuen
15-4	1001-1009	pertsona
15-5	1010-1014	huts
15-6	1015-1026	egiterakoan
15-7	1026-1027	,
15-8	1028-1032	Juan
15-9	1033-1040	babesik
15-10	1041-1045	gabe
15-11	1046-1052	geratu
15-12	1053-1055	da
15-13	1055-1056	.

16-1	1057-1064	Jarrera
16-2	1065-1073	babeslea
16-3	1074-1090	menpekotasunaren
16-4	1091-1098	aurrean
16-5	1099-1110	baliogarria
16-6	1111-1113	al
16-7	1114-1116	da
16-8	1116-1117	?
